ROC-AUC,PR-AUC,"min(Re,Pr)"
0.8579732190940641,0.4159527362765191,0.4496124031007752
0.8604851678434658,0.42700648537534225,0.4571150097465887
0.8524824041108185,0.40807817135025914,0.42681775259678945
0.8699178546852562,0.45459170802355825,0.46576663452266154
0.8527716797809956,0.40938432319559137,0.4526829268292683
0.8600249353009813,0.4296550310911977,0.443359375
0.8588765744674485,0.4266187104533249,0.44401168451801365
0.8686243885381761,0.42474850782144374,0.44921875
0.8642770726124939,0.43448024186420475,0.4580078125
0.8663553415958593,0.4277043177753421,0.443359375
0.8728647453925323,0.45354074168734654,0.4659533073929961
0.8773904978458592,0.4667237377038688,0.4716796875
0.8795570735100526,0.4776571218592591,0.4765625
0.8727279611955482,0.4639886012812831,0.4819512195121951
0.8729157472923647,0.44669762820022474,0.4599609375
0.8798899181725706,0.4530201546776278,0.4775390625
0.8811550083772139,0.4725358222389787,0.48828125
0.8648396829374103,0.43330593841982407,0.462890625
0.8752393022229535,0.47367656221845156,0.4712195121951219
0.8697561071385831,0.4346854163146636,0.4638671875
0.8866193640797032,0.48639106645969366,0.48927875243664715
0.8799409668202489,0.464868418312291,0.478515625
0.8882681606031594,0.49726635180448636,0.4912109375
0.8773384674934179,0.4667954557421287,0.4819512195121951
0.8819310226184778,0.46664911366282447,0.4775390625
0.8827212482048827,0.4700282815223404,0.4741966893865628
0.8876874588618957,0.4953829390699376,0.4951171875
0.881924664911441,0.4858101725014794,0.4833984375
0.8788412237464097,0.45915325342000907,0.48977604673807207
0.8837980380864049,0.4768054483558192,0.49707602339181284
0.8904595126256581,0.48916163508505767,0.5009765625
0.8889532970320727,0.48797210327220375,0.4936708860759494
0.8877172839875538,0.48459921052162236,0.492725509214355
0.8925221210806606,0.4962799456099532,0.5
0.8881617625059837,0.4921381034968004,0.4932170542635659
0.8865246061961466,0.47067593166451216,0.48927875243664715
0.8844728899892293,0.47068398996508304,0.478515625
0.8851747621469602,0.4930455366460836,0.49951409135082603
0.8866311445368596,0.48929754949388415,0.49073170731707316
0.8826403744315463,0.4807073091296994,0.48446601941747575
0.8881248784556007,0.4880548847596777,0.505859375
0.8897255714456679,0.4893208937122421,0.4990234375
0.8892656661381043,0.49136686392756046,0.49560975609756097
0.8931944485998085,0.5031347551667552,0.5087890625
0.8969770972953567,0.5151603040701617,0.5285024154589372
0.8871303180349449,0.5040685373434545,0.5078125
0.8905107015168742,0.49996432221768633,0.5029296875
0.8895333443034946,0.5058508545594124,0.4975609756097561
0.8875797518250358,0.4923153376926472,0.5150925024342746
0.8945075020943035,0.5106075352729654,0.51171875
